1 4	1 Abortus
380 6	396 "Langvarig Tabes dorsalis"
381 12	397 Laryngitis
382 8	398 "Laryngitis crouposa"
383 10	399 "Leuchaemia (Leukaemia)"
384 624	400 "Leukaemia lymphatica"
385 24	401 "Leukosis myeloides"
386 6	402 Leverbetændelse
387 0	403 Leverkræft
388 2	404 Leversyge
389 13	405 Leversygdom
390 0	406 "Lithiasis renalis"
391 50	407 "Lithiasis vesicalis"
392 5	408 Livmoderkræft
393 46	409 Livssvag
394 0	410 "Lues congenita (Lues cong.)"
395 0	411 Lungebetændelse
396 0	412 Lungebyld
397 139	413 Lungekoldbrand
398 14	414 "Lungeoedem (Lungeødem)"
399 35	415 Lungesvindsot
400 2	416 "Lungetuberkulose (Lungetub.)"
401 0	417 Lungetæring
402 12	418 Lungevandsot
403 26	419 "Lymphogranolumatosis maligna"
404 9	420 "Marasmus senilis"
405 39	421 Mavebetændelse
406 1	422 Mavekræft
407 1	423 Mavesmerter
408 35	424 Mavesygdom
409 102	425 Mavesår
410 105	426 Mavetarmcatarrh
411 1078	428 "Medfødt Legemsfejl"
412 0	429 "Medfødt Svaghed"
413 13	430 "Melanoma metastatica"
414 29	431 "Meningeoma regio frontalis"
415 804	432 Meningitis
416 277	433 "Meningitis cerebralis (Meningitis cerebri)"
417 79	434 "Meningitis ex otitide media  (Meningitis e otit. media)"
418 1	435 "Meningitis spinalis (Spinalmeningitis)"
419 0	436 "Meningitis tubercul. cerebri"
420 468	437 "Meningitis tuberculosa (Meningitis tubercul., Meningitis tb.)"
421 10	439 "Metastases ad cerebrum"
422 128	440 "Metastases ad hepar (Metastases ad hep.)"
423 0	441 "Metastases ad organorum"
424 3	442 "Metastases cancrosae pulmorum"
425 5	443 "Metastases carcinomatosae"
426 19	444 "Miliær Tuberkulose"
427 0	445 Moderbristning
428 1	446 "Mollities cerebri"
429 134	447 Morbilli
430 0	448 "Morbilli in tuberculosi"
431 0	449 "Morbus Brightii (Mb. Brightii, Bright´s sygdom)"
432 1693	450 "Morbus cerebri (Mb. cerebri)"
433 54	451 "Morbus cordis (Mb. cordis, Morb.cord.)"
434 8	452 "Morbus cordis arterioscleroticus"
435 6	453 "Morbus cordis chron. (Mb. cord. chron., Morbus chron. cordis)"
436 7	454 "Morbus cordis congenitus (Mb. cordis cong.)"
437 665	455 "Morbus cordis cum ascites"
438 0	456 "Morbus cordis incompensatus (Mb. cordis incompens.)"
439 1	457 "Morbus mentalis (Mb. mentalis)"
440 3	458 "Morbus Pick-Alzheimer"
441 0	459 "Morbus ventriculi"
442 0	460 "Mors in ebrietate"
443 0	461 "Mors repentina"
444 40	462 "Mors repentina sine nota causa"
445 2	463 "Mors subitanea (Mors subita)"
446 0	464 Mundklemme
447 548	465 Mundkrampe
448 0	466 Myelitis
449 267	467 "Myelitis chron."
450 46	468 Myelomatosis
451 3165	469 Myelopathia
452 16	470 Myocarditis
453 224	471 Mæslinger
454 28	472 "Mæslinger med Lungebetændelse"
455 0	473 "Naturlig død"
456 0	474 "Naturlig død?"
457 65	475 "Necrosis ossium"
458 0	476 Nedstyrtning
459 3	477 Neoplasma
460 5	478 "Neoplasma malign."
461 26	479 "Neoplasma malign. hepatis"
462 23	480 "Neoplasma malign. ventriculi"
463 90	481 "Neoplasma metastaticum ossium"
464 19	482 "Neoplasma ovarii"
465 11	483 Nephritis
466 68	484 "Nephritis acuta"
467 53	485 "Nephritis chronica (Nephritis chron.)"
468 0	486 Nephropatia
469 23	487 "Nephropatia chr."
470 0	488 Neurasthenia
471 486	489 "Nyre- & Bækkenbetændelse"
472 3	490 Nyrebetændelse
473 2	491 Nyresten
474 0	492 Nyresygdom
475 0	493 "Occlusio art. coron. cordis (Occlusio a. coron. cord.)"
476 103	494 "Occlusio coronariae (Occl. coron.)"
477 1	495 "Oedema cerebri"
478 0	496 "Oedema pulmonum (Ødema pulm.)"
479 0	497 "Oedema pulm. embolia"
480 0	498 "Oedema pulmonum acut. (Oedema pulm. ac.)"
481 0	499 "Ondartet Halsbetændelse"
482 0	500 "Ondt for Tænder"
483 862	501 "Ophør af Puls og Respiration"
484 52	502 Opkastning
485 0	503 "Organisk Hjerne- og Hjertesygdom"
486 400	504 "Organisk Hjertesygdom"
487 0	505 "Organisk Underlivssygdom"
488 0	506 Orm
489 0	507 "Osteitis pelvis (Ostitis pelvis)"
490 0	508 "Osteomyelitis radii"
491 110	509 "Otitis media"
492 68	510 "Otitis media cum complicat. (Otitis c. complicat.)"
493 0	511 Pancreatitis
494 0	512 "Paralysis (Paralyse)"
495 0	513 "Paralysis cordis"
496 114	514 "Paralysis generalis"
497 0	515 "Paralysis infantilis"
498 3	516 "Paralysis universalis"
499 3	517 "Paresis cordis"
500 3	518 Parotitis
501 0	519 "Partus praematurus"
502 9	520 "Pemphigus (Pemphygus)"
503 0	521 Pericarditis
504 184	522 "Pericarditis adhaesiva"
505 0	523 Peritonitis
506 0	524 "Peritonitis diffusa"
507 11	525 "Peritonitis puerperalis (Peritonitis e puerperio)"
508 0	526 "Peritonitis universalis"
509 30	527 Perityphlitis
510 0	528 Pertussis
511 6	529 Phlebitis
512 26	530 "Phlegmone (Flegmone)"
513 128	531 "Phlegmone axillaris"
514 4	532 "Phlegmone colli"
515 0	533 Phthisis
516 0	534 "Phthisis cavernosa"
517 11	535 "Phthisis cavernosa dupl."
518 9	536 "Phthisis florida"
519 27	537 "Phthisis laryngis"
520 81	538 "Phthisis pulmonum duplex (Phthisis pulm. duplex)"
521 100	539 "Phthisis pulmonum (Phthisis pulm.)"
522 1	540 "Phthisis tuberculosa"
523 680	541 Pleuritis
524 39	542 "Pleuritis dextra"
525 25	543 "Pleuritis duplex"
526 29	544 "Pleuritis sinistra"
527 21	545 Pleuropneumonia
528 12	546 "Pleuropneumonia dupl."
529 54	547 "Pludselig død"
530 78	548 "Pludselig død uden kendt årsag"
531 1	550 Pneumonia
532 16	551 "Pneumonia biliosa"
533 0	552 "Pneumonia bronchialis"
534 3684	553 "Pneumonia catarrhalis (Pneumonia cath.)"
535 18	554 "Pneumonia crouposa (Pneumonia croup., Pneum. croup.)"
536 7	555 "Pneumonia crouposa pulm."
537 3	556 "Pneumonia duplex"
538 0	557 "Pneumonia hypostatica (Pneumonia hypostat.)"
539 576	558 "Pneumonia in Morbilli"
540 34	559 "Pneumonia sub finem"
541 211	560 Polio
542 23	561 Poliomyelitis
543 0	562 "Poliomyelitis anterior acuta (Poliomyelitis a.a.)"
544 29	563 "Polyarthritis chron."
545 103	564 Præcipitatio
546 10	565 "Pyaemia (Pyæmi)"
547 1263	566 Pyelitis
548 0	567 Pyelonephritis
549 71	568 Pyonephrosis
550 3473	569 "Rachitis (Rakitis, Rhachitis)"
551 0	571 "Rheumatisk Feber"
552 3	572 Rheumatisme
553 0	573 "Rheumatismus chron."
554 740	574 Rosen
555 3	575 Rosenfeber
556 56	576 "Ruptura aortae"
557 54	577 "Ruptura cordis"
558 0	578 Rygmarvsbetændelse
559 11	579 Rygmarvssygdom
560 1	580 Rygmarvstæring
561 1	581 "Sarcoma abdominis"
562 0	582 "Sarcomatosis (Sarkomatosis)"
563 2	584 Scarlatina
564 18	585 "Sclerosis amyotrophica lateralis"
565 231	586 "Sclerosis art. coron."
566 51	587 "Sclerosis cerebri"
567 61	588 "Scorbutus  (Skorbut, Skørbug)"
568 6	589 "Scrofulosis (Scrophulosis)"
569 590	590 Selvmord
570 0	591 Selvmord?
571 12	592 "Selvmord ved Gasforgiftning"
572 12	593 "Selvmord ved gift"
573 9	594 "Selvmord ved hængning"
574 90	595 "Selvmord ved nedstyrtning"
575 5	596 "Selvmord ved skydning"
576 1	597 Senilitas
577 9	598 Sepsis
578 5	599 "Septicaemia (Septichæmia, Septikæmi)"
579 11	600 "Septisk shock"
580 8	601 "Sequelae apoplexiae cerebri (Apoplexia cerebri sequelae)"
581 11	602 "Sequelae dentitionis"
582 8	603 "Shock (Chok)"
583 0	604 Sindsforvirring
584 786	605 Sindssvaghed
585 0	606 Sindssygdom
586 3	607 Skarlagensfeber
587 1	608 Skudsår
588 33	609 "Skudsår i hovedet"
589 82	610 Skydning
590 44	611 Slag
591 4	612 Slimfeber
592 9	613 Snive
593 4	614 "Spasmus  (Spasma)"
594 109	615 "Spina bifida"
595 16	616 Spondylitis
596 0	617 "Spondylitis lumb."
597 634	618 "Stasis hepatis"
598 27	619 "Stasis org. et oedema pulm. mag. gr."
599 155	620 "Stasis organorum m. gr."
600 0	621 "Status epilepticus"
601 0	622 "Stenosis aortae"
602 46	623 Stivkrampe
603 5	624 "Strangulatio (Strangulation)"
604 5	625 Strubebetændelse
605 2	626 Strubehoste
606 0	627 Strubekrampe
607 259	628 Strubekræft
608 27	629 Subileus
609 5	630 Submersio
610 4	631 Suffocatio
611 0	632 Suicidium
612 0	633 Suicidium?
613 0	634 Sukkersyge
614 19	635 Svindsot
615 68	636 "Svulst i Hjernen"
616 0	637 "Svulst i spiserøret (Kræftsvulst i spiserøret)"
617 76	638 "Svulst i Tyktarmen"
618 0	639 "Symphysis pericardii"
619 0	640 "Syphilis (Syfilis)"
620 0	641 "Syphilis acquisita"
621 0	642 "Syphilis aphta"
622 7	643 "Syphilis congenita"
623 32	644 "Sår i maven"
624 34	645 "Tabes dorsalis"
625 14	646 "Tandbrud med krampe"
626 164	647 "Krampe under tandudbrud (Tandkrampe)"
627 7	648 Tarmbetændelse
628 1	649 Tarm-Indkrængning
629 0	650 "Tarmkatar (Tarmcatarrh)"
630 7	651 Tarmperforation
631 10	652 "Tarmslyng (Tarmslyngning)"
632 25	653 Tarmsygdom
633 1	654 "Tertiær Syphilis"
634 36	655 "Tetania (Tetani)"
635 43	656 Tetanus
636 6	657 "Tetanus neonatorum (Tetanus neonat.)"
637 2	659 "Thrombosis aa. coron."
638 0	660 "Thrombosis art. cerebri"
639 1	661 "Thrombosis arteriae coronariae (Thrombosis art. coron., Thrombosis a. coron.)"
640 114	662 "Thrombosis cerebri"
641 2	663 "Tracheobronchitis pulm."
642 0	664 Trafikulykke
643 155	665 Trismus
644 4	666 "Trismus neonatorum"
645 52	669 "Tuberculosis pulmonum dext. (Tub. pulm. dext.)"
646 7	670 "Tuberculosis (Tuberkulose)"
647 7	671 "Tuberculosis acuta"
648 30	672 "Tuberculosis laryngis (Tub. laryng.)"
649 1	673 "Tuberculosis miliaris"
650 123	674 "Tuberculosis peritonei"
651 4	675 "Tuberculosis pulmonum (Tubercul. pulm., Tub. pulm.)"
652 19	676 "Tuberculosis universalis"
653 1	678 "Tuberkuløs Diarrhé"
654 0	679 "Tumor abdominis"
655 5	680 "Tumor intracranialis"
656 93	681 "Tumor intract."
657 33	682 "Tumor ovarii"
658 0	683 "Tumor pulm."
659 0	684 "Tumores haemorrhoidales"
660 0	685 Tussis
661 0	686 "Tussis convulsiva"
662 2	687 Tyktarmsbetændelse
663 0	688 Typhlitis
664 0	689 "Typhoid Feber"
665 142	690 "Typhus (Tyfus)"
666 33	691 "Typhus exanthematicus"
667 0	692 "Typhøs Feber"
668 0	693 Tæring
669 0	694 "Uangiven Sygdom (Uang. Sygdom)"
670 1026	695 "Ukendt (Ubekjendt)"
671 16	697 "Ubekjendt Aarsag"
672 11	698 "Ophør af livskraft (Udtømmelse af livskræfter)"
673 188	699 Ukendt
674 0	700 "Ulcus perforans ventriculi"
675 1706	701 "Ulcus ventriculi (Ulcus vent.)"
676 61	702 "Ulykkelig Hændelse"
677 0	703 Ulykkestilfælde
678 0	704 "Underlivs Vattersot"
679 0	705 Underlivsbetændelse
680 85	706 Underlivskræft
681 0	707 Underlivssygdom
682 27	708 Underlivstæring
683 2	709 "Uraemia (Uræmi)"
684 0	710 "Uræmia vera"
685 342	711 Vandsot
686 548	712 Variolae
687 1	713 Vattersot
688 7	714 Veneficium
689 104	715 "Veneficium carbon. monoxydi"
690 95	716 Vomitus
691 4	717 "Vulnus contus. capitis"
692 0	718 "Aandelig og legemlig Svækkelse"
693 375	719 Årebetændelse
694 14	720 Åreforkalkning
695 1367	755 "*skal oprettes"
696 0	756 "Abscessus abdominis (abdominalis)"
697 52	757 "Anasarka  (Anasarca)"
698 2	758 "Anmeldt efter Døden"
699 132	759 "Cancer abdominis et pectoris"
700 13	760 "Cancer mammae utr."
701 108	761 "Cancer pectoris"
702 25	762 "Cancer ventriculi et hepatis"
703 122	763 "Cancer vesicae felleae"
704 0	764 Caries
705 209	765 "Catarrhus gastrointestinalis chronicus (Cat. gastrointestin. chron.)"
706 53	766 "Kronisk nephritis"
707 21	767 "Defect af palat. moll."
708 6	768 Diabetes
709 261	769 "Dræbt ved knusning i en maskine"
710 0	770 "Endocarditis acuta"
711 17	771 "Gastroenteritis chron."
712 32	772 Hjernevandsot
713 89	773 Lungehindebetændelse
714 7	774 "Maveblødning formentlig fremkaldt ved et spark i underlivet"
715 0	775 "Meningitis cerebrospinalis epidemica"
716 6	776 Otitis
717 4	777 "Pneumonia crouposa duplex"
718 0	778 "Tuberculosis pulmonum et laryngis (Tub. pulmon. et  laryngis)"
719 4	779 "Tuberculosis pulmon. et laryngis et intestin."
720 3	780 "Tumor cerebri"
